"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 10 04:14:03 UTC 2022","Mon Oct 10 04:14:10 UTC 2022","6668","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","title","title",""
"passed","Mon Oct 10 10:49:48 UTC 2022","Mon Oct 10 10:49:53 UTC 2022","4462","Chrome","","Orders API tests: CRUD > Create an order > Order Notes tests","","","can permanently delete an order note",""
"passed","Mon Oct 10 10:49:37 UTC 2022","Mon Oct 10 10:49:39 UTC 2022","1452","Chrome","","Customers API tests: CRUD > Update a customer","","","retrieve after update admin",""
"skipped","Mon Oct 10 10:54:23 UTC 2022","Mon Oct 10 10:54:23 UTC 2022","0","Chrome","","Products API tests: List All Products > List all products > orderby","","","popularity (desc)",""
"passed","Mon Oct 10 10:48:51 UTC 2022","Mon Oct 10 10:48:53 UTC 2022","1788","Chrome","","Order Search API tests","","","can search by billing post code",""
"passed","Mon Oct 10 04:23:10 UTC 2022","Mon Oct 10 04:23:13 UTC 2022","2438","","Order Search API tests","","Order Search API tests","can search by shipping state","can search by shipping state",""
"failed","Mon Oct 10 10:49:31 UTC 2022","Mon Oct 10 10:49:33 UTC 2022","1867","Chrome","","Customers API tests: CRUD > Retrieve after create","","","can retrieve a customer",""
"skipped","Mon Oct 10 10:54:23 UTC 2022","Mon Oct 10 10:54:23 UTC 2022","0","Chrome","","Products API tests: List All Products > List all products > orderby","","","popularity (asc)",""
"skipped","Mon Oct 10 10:54:23 UTC 2022","Mon Oct 10 10:54:23 UTC 2022","0","Chrome","","Products API tests: List All Products > List all products > orderby","","","default",""
"passed","Mon Oct 10 04:22:46 UTC 2022","Mon Oct 10 04:22:49 UTC 2022","2769","","Order Search API tests","","Order Search API tests","can search by billing city name","can search by billing city name",""
"passed","Mon Oct 10 04:18:21 UTC 2022","Mon Oct 10 04:18:24 UTC 2022","2682","","Coupons API tests List coupons","","Coupons API tests List coupons","can limit results to matching string","can limit results to matching string",""
"skipped","Mon Oct 10 10:52:55 UTC 2022","Mon Oct 10 10:52:55 UTC 2022","0","Chrome","","Orders API tests > orderby","","","default",""
"failed","Mon Oct 10 04:13:44 UTC 2022","Mon Oct 10 04:13:48 UTC 2022","4664","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","status","status",""
"failed","Mon Oct 10 04:13:29 UTC 2022","Mon Oct 10 04:13:29 UTC 2022","2","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","categories","categories",""
"passed","Mon Oct 10 10:48:37 UTC 2022","Mon Oct 10 10:48:39 UTC 2022","2215","Chrome","","Test API connectivity","","","can access an authenticated endpoint",""
"passed","Mon Oct 10 10:49:04 UTC 2022","Mon Oct 10 10:49:06 UTC 2022","1909","Chrome","","Customers API tests: CRUD > Retrieve after env setup","","","can retrieve all customers",""
